Article Title,Authors,Article URL,Author Information
1: CHILDREN WITH CARDIAC DISEASE ON EXTRACORPOREAL MEMBRANE OXYGENATION ARE AT RISK FOR SEIZURES,"Hassumani, Daniel1; Mastropietro, Christopher2; Friedman, Matthew3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/1__children_with_cardiac_disease_on_extracorporeal.4.aspx,
1: CHILDREN WITH CARDIAC DISEASE ON EXTRACORPOREAL MEMBRANE OXYGENATION ARE AT RISK FOR SEIZURES,,https://journals.lww.com/ccmjournal/citation/2020/01001/1__children_with_cardiac_disease_on_extracorporeal.4.aspx,"1Indiana University, Riley Hospital for Children, Indianapolis, IN
2Indiana University School of Medicine, Indianapolis, IN
3Riley Hospital for Children, Indianapolis, IN"
2: RISK FACTORS FOR THROMBOSIS IN INFANTS RECEIVING TREATMENT-DOSE ENOXAPARIN FOLLOWING CARDIAC SURGERY,"Hutchinson, David1; Stauber, Sierra2; Taillie, Eileen2; Brown, Mikaela2; Gerula, Amy1; Alfieris, George2; Cholette, Jill2
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/2__risk_factors_for_thrombosis_in_infants.5.aspx,
2: RISK FACTORS FOR THROMBOSIS IN INFANTS RECEIVING TREATMENT-DOSE ENOXAPARIN FOLLOWING CARDIAC SURGERY,,https://journals.lww.com/ccmjournal/citation/2020/01001/2__risk_factors_for_thrombosis_in_infants.5.aspx,"1St. John Fisher School of Pharmacy, Rochester, NY
2University of Rochester Medical Center, Rochester, NY"
3: DESCRIPTION OF PHARMACOGENOMIC TESTING IN A COHORT OF CARDIOVASCULAR ICU SURGICAL PATIENTS,"Chlan, Linda1; Arendt, Christopher2; Nicholson, Wayne3; Moyer, Ann3; Krecke, Catherine3; Smischney, Nathan3; Seelhammer, Troy4; Haney, Rory3; Yaw, Elissa3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/3__description_of_pharmacogenomic_testing_in_a.6.aspx,
3: DESCRIPTION OF PHARMACOGENOMIC TESTING IN A COHORT OF CARDIOVASCULAR ICU SURGICAL PATIENTS,,https://journals.lww.com/ccmjournal/citation/2020/01001/3__description_of_pharmacogenomic_testing_in_a.6.aspx,"1Rochester, MN
2Mayo Medical Center, Rochester, MN
3Mayo Clinic, Rochester, MN
4University of Michigan Health System, Ann Arbor, MI"
4: MOLECULAR MECHANISMS OF HYPOTENSION IN SEPSIS,"Greenwald, Andrew1; Yim, Peter1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/4__molecular_mechanisms_of_hypotension_in_sepsis.7.aspx,
4: MOLECULAR MECHANISMS OF HYPOTENSION IN SEPSIS,,https://journals.lww.com/ccmjournal/citation/2020/01001/4__molecular_mechanisms_of_hypotension_in_sepsis.7.aspx,"1Columbia University Medical Center, New York, NY"
5: EFFECTS OF NLRP3 INFLAMMASOME BLOCKADE ON POST-RESUSCITATION CEREBRAL FUNCTION,"Tang, Wanchun1; Zheng, Guanghui2; He, Fenglian3; Xu, Jing4; Hu, Juntao2; Ge, Weiwei2; Ji, Xianfei4; Mai, Helen3; Bradley, Jennifer2; Peberdy, Mary5; Ornato, Joseph6; Jiang, Longyuan7; Wang, Tong7; Toldo, Stefano8
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/5__effects_of_nlrp3_inflammasome_blockade_on.8.aspx,
5: EFFECTS OF NLRP3 INFLAMMASOME BLOCKADE ON POST-RESUSCITATION CEREBRAL FUNCTION,,https://journals.lww.com/ccmjournal/citation/2020/01001/5__effects_of_nlrp3_inflammasome_blockade_on.8.aspx,
