name,first_publication_year,career_stage,gender,orcid_id,year,times_cited,coauthor_M,coauthor_F,coauthor_count,coauthor_country,group
Wanchun Tang,1990.0,Senior,F,0000-0003-3940-6369,2017,6,5,3,8,"{'China': 12, 'United States': 1}",Control
Wanchun Tang,1990.0,Senior,F,0000-0003-3940-6369,2017,4,6,2,8,"{'China': 10, 'United States': 2}",Control
Wanchun Tang,1990.0,Senior,F,0000-0003-3940-6369,2017,20,1,2,9,{'United States': 9},Control
Wanchun Tang,1990.0,Senior,F,0000-0003-3940-6369,2017,7,8,2,10,{'China': 10},Control
Nadir Yehya,2004.0,Mid,M,0000-0002-2996-217X,2023,0,1,3,4,{'United States': 4},Control
Nadir Yehya,2004.0,Mid,M,0000-0002-2996-217X,2023,0,3,1,5,"{'United States': 4, 'Tunisia': 1}",Control
Nadir Yehya,2004.0,Mid,M,0000-0002-2996-217X,2023,0,2,2,4,{'United States': 4},Control
Nadir Yehya,2004.0,Mid,M,0000-0002-2996-217X,2023,0,2,3,5,{'United States': 5},Control
Nadir Yehya,2004.0,Mid,M,0000-0002-2996-217X,2023,0,1,1,2,{'United States': 2},Control
Nadir Yehya,2004.0,Mid,M,0000-0002-2996-217X,2023,0,2,2,4,{'United States': 4},Control
Nadir Yehya,2004.0,Mid,M,0000-0002-2996-217X,2023,16,4,0,12,{'United States': 14},Control
Nadir Yehya,2004.0,Mid,M,0000-0002-2996-217X,2023,7,2,0,7,{'United States': 14},Control
Nadir Yehya,2004.0,Mid,M,0000-0002-2996-217X,2023,1,1,0,2,{'United States': 3},Control
Nadir Yehya,2004.0,Mid,M,0000-0002-2996-217X,2023,4,3,2,11,{'United States': 11},Control
Nadir Yehya,2004.0,Mid,M,0000-0002-2996-217X,2023,4,6,1,11,{'United States': 22},Control
Nadir Yehya,2004.0,Mid,M,0000-0002-2996-217X,2023,2,1,0,7,{'United States': 11},Control
Nadir Yehya,2004.0,Mid,M,0000-0002-2996-217X,2023,7,1,0,6,{'United States': 8},Control
Nadir Yehya,2004.0,Mid,M,0000-0002-2996-217X,2023,3,2,3,11,{'United States': 21},Control
Nadir Yehya,2004.0,Mid,M,0000-0002-2996-217X,2023,6,2,0,6,{'United States': 11},Control
Nadir Yehya,2004.0,Mid,M,0000-0002-2996-217X,2023,0,7,0,7,{'United States': 7},Control
Nadir Yehya,2004.0,Mid,M,0000-0002-2996-217X,2023,0,5,0,5,{'United States': 5},Control
Nadir Yehya,2004.0,Mid,M,0000-0002-2996-217X,2023,0,4,0,4,{'United States': 4},Control
Nadir Yehya,2004.0,Mid,M,0000-0002-2996-217X,2023,2,2,1,10,{'United States': 23},Control
Nadir Yehya,2004.0,Mid,M,0000-0002-2996-217X,2023,11,3,3,12,"{'Pakistan': 6, 'United States': 10}",Control
Manette Ness-Cochinwala,2018.0,Early,F,0000-0003-3612-9722,2023,0,5,11,18,{'United States': 15},Control
Manette Ness-Cochinwala,2018.0,Early,F,0000-0003-3612-9722,2023,0,5,11,18,{'United States': 15},Control
Manette Ness-Cochinwala,2018.0,Early,F,0000-0003-3612-9722,2023,16,7,4,25,{'United States': 26},Control
Manette Ness-Cochinwala,2018.0,Early,F,0000-0003-3612-9722,2023,551,130,237,825,"{'United States': 179, 'Norfolk Island': 1}",Control
Manette Ness-Cochinwala,2018.0,Early,F,0000-0003-3612-9722,2023,4,15,27,142,"{'United States': 144, 'Canada': 2}",Control
Tuqa Alkhateeb,2017.0,Early,F,0000-0002-3507-1576,2023,0,1,4,6,{'United States': 6},Control
Tuqa Alkhateeb,2017.0,Early,F,0000-0002-3507-1576,2017,0,0,1,10,{},Control
Tuqa Alkhateeb,2017.0,Early,F,0000-0002-3507-1576,2023,2,0,1,5,{'United States': 8},Control
Niranjan Vijayakumar,2019.0,Early,M,0000-0002-6529-7779,2023,0,12,7,20,{'United States': 16},Control
