year,url,orcid_id,author
2023,https://doi.org/10.1097/01.ccm.0001004320.43256.d0,0000-0001-5276-2064,Kaori Ito
2023,https://doi.org/10.1136/bcr-2023-255977,0000-0001-5276-2064,Kaori Ito
2023,https://doi.org/10.1186/s40560-023-00682-3,0000-0001-5276-2064,Kaori Ito
2023,https://doi.org/10.1016/j.cger.2023.05.011,0000-0001-5276-2064,Kaori Ito
2023,https://doi.org/10.1002/ams2.866,0000-0001-5276-2064,Kaori Ito
2023,https://doi.org/10.21203/rs.3.rs-2942343/v1,0000-0001-5276-2064,Kaori Ito
2023,https://doi.org/10.1177/10499091231177863,0000-0001-5276-2064,Kaori Ito
2023,https://doi.org/10.1136/tsaco-2023-001156,0000-0001-5276-2064,Kaori Ito
2023,https://doi.org/10.1097/ta.0000000000003995,0000-0001-5276-2064,Kaori Ito
2023,https://doi.org/10.1136/tsaco-2022-001080,0000-0001-5276-2064,Kaori Ito
2017,https://doi.org/10.1002/ams2.314,0000-0001-5276-2064,Kaori Ito
2023,https://doi.org/10.1177/08971900231185392,0000-0001-5456-2170,Lucas Bulgarelli
2023,https://doi.org/10.1038/s41597-023-02136-9,0000-0001-5456-2170,Lucas Bulgarelli
2023,https://doi.org/10.1038/s41597-023-01945-2,0000-0001-5456-2170,Lucas Bulgarelli
2023,https://doi.org/10.1038/s41597-022-01899-x,0000-0001-5456-2170,Lucas Bulgarelli
2023,https://doi.org/10.56305/001c.77583,0000-0001-5601-264X,Nirav Haribhakti
2023,https://doi.org/10.1164/ajrccm-conference.2023.207.1_meetingabstracts.a1333,0000-0001-5601-264X,Nirav Haribhakti
2023,https://doi.org/10.1055/s-0043-1776409,0000-0001-5629-7788,Orkun Baloglu
2023,https://doi.org/10.1097/pcc.0000000000003425,0000-0001-5629-7788,Orkun Baloglu
2023,https://doi.org/10.1007/s00467-023-06197-1,0000-0001-5629-7788,Orkun Baloglu
2023,https://doi.org/10.1007/s40746-023-00274-1,0000-0001-5629-7788,Orkun Baloglu
2023,https://doi.org/10.1007/s00431-023-05085-y,0000-0001-5629-7788,Orkun Baloglu
2023,https://doi.org/10.1016/j.jacadv.2023.100267,0000-0001-5629-7788,Orkun Baloglu
2023,https://doi.org/10.1097/01.ccm.0000998460.47042.9a,0000-0001-5668-4251,An-Kwok Ian Wong
2023,https://doi.org/10.1097/ccm.0000000000006061,0000-0001-5668-4251,An-Kwok Ian Wong
2023,https://doi.org/10.1371/journal.pdig.0000244,0000-0001-5668-4251,An-Kwok Ian Wong
2023,https://doi.org/10.1101/2023.10.03.23296485,0000-0001-5668-4251,An-Kwok Ian Wong
2023,https://doi.org/10.1101/2023.09.21.23295939,0000-0001-5668-4251,An-Kwok Ian Wong
2023,https://doi.org/10.1016/j.ccc.2023.02.005,0000-0001-5668-4251,An-Kwok Ian Wong
2023,https://doi.org/10.1097/01.ccm.0000998496.30612.b1,0000-0001-5683-8310,Blake Martin
2023,https://doi.org/10.1097/pcc.0000000000003425,0000-0001-5683-8310,Blake Martin
2023,https://doi.org/10.1038/s41746-023-00830-x,0000-0001-5683-8310,Blake Martin
2023,https://doi.org/10.1055/a-2036-0337,0000-0001-5683-8310,Blake Martin
2023,https://doi.org/10.1001/jamanetworkopen.2022.49552,0000-0001-5683-8310,Blake Martin
2023,https://doi.org/10.1097/01.ccm.0001001576.43385.7f,0000-0001-5826-0460,Divij Pasrija
2023,https://doi.org/10.1182/blood-2023-174257,0000-0001-5888-3473,Behzad Amoozgar
2023,https://doi.org/10.1182/blood-2023-182204,0000-0001-5888-3473,Behzad Amoozgar
2023,https://doi.org/10.1182/blood.2023021274,0000-0001-5888-3473,Behzad Amoozgar
2017,https://doi.org/10.4172/2155-9570.1000666,0000-0001-5888-3473,Behzad Amoozgar
2017,https://doi.org/10.1097/ijg.0000000000000757,0000-0001-5888-3473,Behzad Amoozgar
2017,https://doi.org/10.1371/journal.pone.0179836,0000-0001-5888-3473,Behzad Amoozgar
2017,https://doi.org/10.1371/journal.pone.0172556,0000-0001-5888-3473,Behzad Amoozgar
2017,https://doi.org/10.1097/icu.0000000000000351,0000-0001-5888-3473,Behzad Amoozgar
2017,https://doi.org/10.1097/icu.0000000000000350,0000-0001-5888-3473,Behzad Amoozgar
2017,https://doi.org/10.1007/s40135-017-0121-8,0000-0001-5888-3473,Behzad Amoozgar
2023,https://doi.org/10.1016/j.yexcr.2023.113827,0000-0001-5911-0659,Hideki Yoshida
2023,https://doi.org/10.1038/s41598-023-41196-0,0000-0001-5911-0659,Hideki Yoshida
2023,https://doi.org/10.1007/s13311-023-01406-z,0000-0001-5911-0659,Hideki Yoshida
2023,https://doi.org/10.1016/b978-0-323-89833-1.00033-1,0000-0001-5911-0659,Hideki Yoshida
2017,https://doi.org/10.1016/j.yexcr.2017.12.010,0000-0001-5911-0659,Hideki Yoshida
2017,https://doi.org/10.1016/j.jns.2017.08.575,0000-0001-5911-0659,Hideki Yoshida
2017,https://doi.org/10.1016/j.jns.2017.08.1586,0000-0001-5911-0659,Hideki Yoshida
2017,https://doi.org/10.1016/j.cellsig.2017.10.017,0000-0001-5911-0659,Hideki Yoshida
2017,https://doi.org/10.1038/s41598-017-15344-2,0000-0001-5911-0659,Hideki Yoshida
