year,url,orcid_id,author
2023,https://doi.org/10.1177/19418744231196625,0000-0001-5611-8284,Sarah Peacock
2023,https://doi.org/10.1016/j.jemermed.2023.06.004,0000-0001-5707-2679,Breyanna Reachi
2023,https://doi.org/10.1002/jgf2.662,0000-0001-5738-4031,Akira Kuriyama
2023,https://doi.org/10.1016/j.amjsurg.2023.12.018,0000-0001-5738-4031,Akira Kuriyama
2023,https://doi.org/10.1002/ams2.906,0000-0001-5738-4031,Akira Kuriyama
2023,https://doi.org/10.1016/j.amjmed.2023.11.004,0000-0001-5738-4031,Akira Kuriyama
2023,https://doi.org/10.1007/s11606-023-08514-8,0000-0001-5738-4031,Akira Kuriyama
2023,https://doi.org/10.1186/s40560-023-00697-w,0000-0001-5738-4031,Akira Kuriyama
2023,https://doi.org/10.1016/j.jpedsurg.2023.10.069,0000-0001-5738-4031,Akira Kuriyama
2023,https://doi.org/10.1093/qjmed/hcad242,0000-0001-5738-4031,Akira Kuriyama
2023,https://doi.org/10.1007/s11606-023-08261-w,0000-0001-5738-4031,Akira Kuriyama
2023,https://doi.org/10.1016/j.ajp.2023.103689,0000-0001-5738-4031,Akira Kuriyama
2023,https://doi.org/10.1016/j.jemermed.2023.05.016,0000-0001-5738-4031,Akira Kuriyama
2023,https://doi.org/10.1111/jep.13849,0000-0001-5738-4031,Akira Kuriyama
2023,https://doi.org/10.21037/atm-22-5054,0000-0001-5738-4031,Akira Kuriyama
2023,https://doi.org/10.21037/atm-22-4340,0000-0001-5738-4031,Akira Kuriyama
2023,https://doi.org/10.1513/annalsats.202201-029oc,0000-0001-5738-4031,Akira Kuriyama
2017,https://doi.org/10.1007/s00520-017-4028-6,0000-0001-5738-4031,Akira Kuriyama
2017,https://doi.org/10.2169/internalmedicine.9592-17,0000-0001-5738-4031,Akira Kuriyama
2017,https://doi.org/10.1007/s11606-017-4236-2,0000-0001-5738-4031,Akira Kuriyama
2017,https://doi.org/10.1038/ejcn.2017.141,0000-0001-5738-4031,Akira Kuriyama
2017,https://doi.org/10.1016/j.ajem.2017.08.055,0000-0001-5738-4031,Akira Kuriyama
2023,https://doi.org/10.1136/rapm-2023-esra.271,0000-0001-8503-0783,Eugene Oreshnikov
