first_author,institution,full_affiliation
 Daniel Hassumani,Indiana University,"Indiana University, Riley Hospital for Children, Indianapolis, IN"
 David Hutchinson,St. John Fisher School of Pharmacy,"St. John Fisher School of Pharmacy, Rochester, NY"
 Linda Chlan,Rochester,"Rochester, MN"
 Andrew Greenwald,Columbia University Medical Center,"Columbia University Medical Center, New York, NY"
 Wanchun Tang,Virginia Commonwealth University,"Virginia Commonwealth University, Glen Allen, VA"
 Agustin Gutiérrez-Gomez,Universidad de Monterrey,"Universidad de Monterrey, Monterrey, Mexico"
 Brandon Henry,Cincinnati Children’s Hospital Medical Center,"Cincinnati Children’s Hospital Medical Center, Cincinnati, OH"
 Utpal Bhalala,Children’s Hospital of San Antonio,"Children’s Hospital of San Antonio, San Antonio, TX"
 Tasmia Rezwan,Stony Brook Children’s,"Stony Brook Children’s, Stony Brook, NY"
 Anthony Sochet,Johns Hopkins University,"Johns Hopkins University, Johns Hopkins All Children’s Hospital, Saint Petersburg, FL"
 Courtney Rowan,Riley Hospital For Children,"Riley Hospital For Children, Indianapolis, IN"
 Nadir Yehya,Children’s Hospital of Philadelphia,"Children’s Hospital of Philadelphia, Philadelphia, PA"
 Umar Salimi,Children’s Mercy Hospital,"Children’s Mercy Hospital, Kansas City, MO"
 Mia Maamari,UT Southwestern,"UT Southwestern, Dallas, TX"
 Manette Ness-Cochinwala,Nicklaus Children’s Hospital,"Nicklaus Children’s Hospital, Miami, FL"
 Sravya Ennamuri,University of Texas Southwestern Medical Center at Dallas,"University of Texas Southwestern Medical Center at Dallas, Dallas, TX"
 Rohit Gupta,Mount Sinai Hospital,"Mount Sinai Hospital, New York, NY"
 Thomas Higgins,The Center for Case Management,"The Center for Case Management, Natick, MA"
 Hanbiehn Kim,Johns Hopkins University,"Johns Hopkins University, Baltimore, MD"
 Laura Freeseman-Freeman,Cerner Corporation,"Cerner Corporation, Kansas City, MO"
 Denise Lopez Domowicz,Durham,"Durham, NC"
 Dijoia Darden,Gainesville,"Gainesville, FL"
 Tuqa Alkhateeb,East Tennessee State University,"East Tennessee State University, Johnson City, TN"
 Sidney Le,Dascena,"Dascena, Inc., Oakland, CA"
 Eric Wald,Ann & Robert H. Lurie Children’s Hospital of Chicago,"Ann & Robert H. Lurie Children’s Hospital of Chicago, Chicago, IL"
 Jane Whitney,Boston Children’s Hospital,"Boston Children’s Hospital, Boston, MA"
 Amanda Ward,Danville,"Danville, PA"
 Gretchen Sacha,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH"
 John Hammer,Carolinas Medical Center,"Carolinas Medical Center, Charlotte, NC"
 Brian Anderson,University of Pennsylvania,"University of Pennsylvania, Philadelphia, PA"
 Seth Bauer,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH"
 Gretchen Sacha,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH"
 Becky Riggs,Johns Hopkins School of Medicine,"Johns Hopkins School of Medicine, Baltimore, MD"
 Kenneth Scheppke,Palm Beach County Fire Rescue,"Palm Beach County Fire Rescue, West Palm Beach, FL"
 Anil Gulati,Pharmazz,"Pharmazz, Inc., Willowbrook, IL"
 Sahar Zafar,Massachusetts General Hospital,"Massachusetts General Hospital, Boston, MA"
 Khalil Yousef,University of Jordan,"University of Jordan, School of Nursing, Amman"
 Neil Munjal,Children’s Hospital of Pittsburgh of UPMC,"Children’s Hospital of Pittsburgh of UPMC, Pittsburgh, PA"
 Owen Leary,Warren Alpert Medical School of Brown University,"Warren Alpert Medical School of Brown University, Providence, RI"
 Tyler Harder,Warren Alpert Medical School of Brown University,"Warren Alpert Medical School of Brown University, Providence, RI"
 Christopher Snyder,Johns Hopkins All Children’s Hospital,"Johns Hopkins All Children’s Hospital, St. Petersburg, FL"
 Nathan Goad,Cabell Huntington Hospital,"Cabell Huntington Hospital, Huntington, WV"
 Drayton Hammond,Rush University Medical Center,"Rush University Medical Center, Chicago, IL"
 Taryn Mancarella,Norton Children’s Hospital,"Norton Children’s Hospital, Louisville, KY"
 Megan Rech,Loyola University Medical Center,"Loyola University Medical Center, Maywood, IL"
 Allison Bouwma,Henry Ford Hospital,"Henry Ford Hospital, Detroit, MI"
 Mckenna Jennings,Indiana University Health,"Indiana University Health, Indianapolis, IN"
 Christine Groth,Strong Memorial Hospital University of Rochester,"Strong Memorial Hospital University of Rochester, Rochester, NY"
 Erin Paquette,Ann and Robert H. Lurie Children’s Hospital of Chicago,"Ann and Robert H. Lurie Children’s Hospital of Chicago, Chicago, IL"
 Colleen Badke,Ann & Robert H. Lurie Children’s Hospital of Chicago,"Ann & Robert H. Lurie Children’s Hospital of Chicago, Chicago, IL"
 Andrew Geneslaw,Columbia University Medical Center,"Columbia University Medical Center, New York, NY"
 Megan Land,Emory University,"Emory University, Atlanta, GA"
 Elizabeth Killien,Seattle Children’s Hospital,"Seattle Children’s Hospital, Seattle, WA"
 Matthew Duprey,Northeastern University,"Northeastern University, Boston, MA"
 Jason Falvey,Yale University,"Yale University, New Haven, CT"
