Article Title,Authors,Article URL,Author Information
1: CHILDREN WITH CARDIAC DISEASE ON EXTRACORPOREAL MEMBRANE OXYGENATION ARE AT RISK FOR SEIZURES,"Hassumani, Daniel1; Mastropietro, Christopher2; Friedman, Matthew3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/1__children_with_cardiac_disease_on_extracorporeal.4.aspx,"1Indiana University, Riley Hospital for Children, Indianapolis, IN
2Indiana University School of Medicine, Indianapolis, IN
3Riley Hospital for Children, Indianapolis, IN"
2: RISK FACTORS FOR THROMBOSIS IN INFANTS RECEIVING TREATMENT-DOSE ENOXAPARIN FOLLOWING CARDIAC SURGERY,"Hutchinson, David1; Stauber, Sierra2; Taillie, Eileen2; Brown, Mikaela2; Gerula, Amy1; Alfieris, George2; Cholette, Jill2
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/2__risk_factors_for_thrombosis_in_infants.5.aspx,"1St. John Fisher School of Pharmacy, Rochester, NY
2University of Rochester Medical Center, Rochester, NY"
3: DESCRIPTION OF PHARMACOGENOMIC TESTING IN A COHORT OF CARDIOVASCULAR ICU SURGICAL PATIENTS,"Chlan, Linda1; Arendt, Christopher2; Nicholson, Wayne3; Moyer, Ann3; Krecke, Catherine3; Smischney, Nathan3; Seelhammer, Troy4; Haney, Rory3; Yaw, Elissa3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/3__description_of_pharmacogenomic_testing_in_a.6.aspx,"1Rochester, MN
2Mayo Medical Center, Rochester, MN
3Mayo Clinic, Rochester, MN
4University of Michigan Health System, Ann Arbor, MI"
4: MOLECULAR MECHANISMS OF HYPOTENSION IN SEPSIS,"Greenwald, Andrew1; Yim, Peter1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/4__molecular_mechanisms_of_hypotension_in_sepsis.7.aspx,"1Columbia University Medical Center, New York, NY"
5: EFFECTS OF NLRP3 INFLAMMASOME BLOCKADE ON POST-RESUSCITATION CEREBRAL FUNCTION,"Tang, Wanchun1; Zheng, Guanghui2; He, Fenglian3; Xu, Jing4; Hu, Juntao2; Ge, Weiwei2; Ji, Xianfei4; Mai, Helen3; Bradley, Jennifer2; Peberdy, Mary5; Ornato, Joseph6; Jiang, Longyuan7; Wang, Tong7; Toldo, Stefano8
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/5__effects_of_nlrp3_inflammasome_blockade_on.8.aspx,"1Virginia Commonwealth University, Glen Allen, VA
2Weil Institute of Emergency and Critical Care Research at VCU, Richmond, VA
3Weil Institute of Critical Care Medicine, Richmond, VA
4Richmond, VA
5VCU Health System, Richmond, VA
6Medical College of Virginia, Richmond, VA
7The Department of Emergency Medicine, Sun Yat-Sen Memorial Hospital, Sun Yat-Sen, Guangzhou, China
8Department of Emergency Medicine at VCU, Richmond, VA"
6: PRE-ARREST ELECTROCARDIOGRAPHIC CHANGES: COULD THEY PREDICT CARDIAC ARREST IN HOSPITALIZED CHILDREN?,"Gutiérrez-Gomez, Agustin1; West, Charleston2; Sumbel, Lydia3; Singh, Harinder3; Agarwal, Arpit3; Bhalala, Utpal3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/6__pre_arrest_electrocardiographic_changes__could.9.aspx,"1Universidad de Monterrey, Monterrey, Mexico
2University of The Incarnate Word School of Osteopathic Medicine, San Antonio, TX
3The Children’s Hospital of San Antonio, San Antonio, TX"
7: OUTCOMES OF REPEATED EXTRACORPOREAL MEMBRANE OXYGENATION IN ADULTS: ANALYSIS OF THE ELSO REGISTRY,"Henry, Brandon1; Thiagarajan, Ravi2; Cooper, David1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/7__outcomes_of_repeated_extracorporeal_membrane.10.aspx,"1Cincinnati Children’s Hospital Medical Center, Cincinnati, OH
2Boston Children’s Hospital, Boston, MA"
8: ECPR IN THE PEDIATRIC CARDIAC POPULATION: ANALYSIS FROM THE VIRTUAL PEDIATRIC SYSTEM DATABASE,"Bhalala, Utpal1; Guffey, Danielle2; Thiagarajan, Ravi3; Lasa, Javier4
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/8__ecpr_in_the_pediatric_cardiac_population_.11.aspx,"1Children’s Hospital of San Antonio, San Antonio, TX
2Baylor College of Medicine, Houston, TX
3Boston Children’s Hospital, Boston, MA
4Texas Children’s Hospital, Houston, TX"
9: THE EFFECT OF PROTOCOLIZATION OF STATUS ASTHMATICUS TREATMENT IN A PEDIATRIC INTENSIVE CARE UNIT,"Rezwan, Tasmia1; Hulfish, Erin1; Diener, Barry1; Romard, Lisa1; Glaubach, Taly1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/9__the_effect_of_protocolization_of_status.12.aspx,"1Stony Brook Children’s, Stony Brook, NY"
10: STRESS ULCER PROPHYLAXIS FOR CHILDREN ADMITTED TO THE ICU FOR STATUS ASTHMATICUS APPEARS UNWARRANTED,"Sochet, Anthony1; Roddy, Meghan2; McKinley, Scott2; Morrison, John1; Wilsey, Michael1; Nakagawa, Thomas3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/10__stress_ulcer_prophylaxis_for_children_admitted.13.aspx,"1Johns Hopkins University, Johns Hopkins All Children’s Hospital, Saint Petersburg, FL
2Johns Hopkins All Children’s Hospital, Saint Petersburg, FL
3Saint Petersburg, FL"
11: FACTORS ASSOCIATED WITH FAILURE OF NONINVASIVE VENTILATION IN CHILDREN AFTER STEM CELL TRANSPLANT,"Rowan, Courtney1; Fitzgerald, Julie2; Agulnik, Asya3; Sharron, Matthew4; Mahadeo, Kris5; Moffet, Jerelyn6; Tarquinio, Keiko7; Zinter, Matthew8; Bajwa, Rajinder9; Slaven, James10; Steiner, Marie11
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/11__factors_associated_with_failure_of_noninvasive.14.aspx,"1Riley Hospital For Children, Indianapolis, IN
2Children’s Hospital of Philadelphia, Media, PA
3St Jude Children’s Research Hospital, Memphis, TN
4Children’s National Health Systems, Washington, DC
5University of Texas at MD Anderson Cancer Center, Houston, Tx
6Duke, Raleigh, NC
7Atlanta, GA
8UCSF, San Francisco, CA
9Ohio State University, Columbus, OH
10Indiana University, Indianapolis, IN
11Minneapolis, MN"
12: IMPLEMENTATION OF A VENTILATOR WEANING PATHWAY IMPROVES OUTCOMES IN PEDIATRIC ARDS,"Yehya, Nadir1; Mehta, Sanjiv1; Craig, Nancy1; Dominick, Cheryl1; Madu, Chinonyerem1; Kraus, Blair1; Martin, Kelly1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/12__implementation_of_a_ventilator_weaning_pathway.15.aspx,"1Children’s Hospital of Philadelphia, Philadelphia, PA"
13: RECOMBINANT ANGIOPOIETIN 1 PROTECTS AGAINST LPS-INDUCED INFLAMMATION IN THE DEVELOPING MURINE LUNG,"Salimi, Umar1; Menden, Heather1; Xia, Sheng1; Sampath, Venkatesh1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/13__recombinant_angiopoietin_1_protects_against.16.aspx,"1Children’s Mercy Hospital, Kansas City, MO"
14: PERSISTENT TACHYCARDIA AND COMORBID PNEUMONIA ARE ASSOCIATED WITH NIPPV FAILURE IN BRONCHIOLITIS,"Maamari, Mia1,,2; Sharron, Matthew2; Sochet, Anthony3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/14__persistent_tachycardia_and_comorbid_pneumonia.17.aspx,"1UT Southwestern, Dallas, TX
2Children’s National Health System, Washington, DC
3Johns Hopkins All Children’s Hospital, Tierra Verde, FL"
