Article Title,Article URL,Author Information
Code Blues,https://journals.lww.com/ccmjournal/citation/2020/01000/code_blues.1.aspx,"Department of Pulmonary Diseases and Critical Care Medicine, University of Nevada Las Vegas, Las Vegas, NV; and, Department of Internal Medicine, Texas Tech University Health Sciences Center at the Permian Basin, Odessa, TX
Pro-Care/Odessa Heart Institute, Medical Center Hospital Health System, Odessa, TX
The authors have disclosed that they do not have any potential conflicts of interest.
For information regarding this article, E-mail: alfredoiardino@gmail.com"
"The Nursing Activities Score Per Nurse Ratio Is Associated With In-Hospital Mortality, Whereas the Patients Per Nurse Ratio Is Not*",https://journals.lww.com/ccmjournal/abstract/2020/01000/the_nursing_activities_score_per_nurse_ratio_is.2.aspx,"1Department of Medical Informatics, Amsterdam UMC, Location AMC, Amsterdam Public Health research institute, Amsterdam, The Netherlands.
2National Intensive Care Evaluation (NICE) Foundation, Department of Medical Informatics, Amsterdam UMC, Amsterdam, The Netherlands.
3Department Anesthesiology and Intensive Care, Isala, Zwolle, The Netherlands.
4Department of Intensive Care, Onze Lieve Vrouwe Gasthuis, Amsterdam, The Netherlands.
5Department of Intensive Care, Amsterdam UMC, location VUMC, Amsterdam, The Netherlands.
*See also p. 126.
Supplemental digital content is available for this article. Direct URL citations appear in the printed text and are provided in the HTML and PDF versions of this article on the journal’s website (http://journals.lww.com/ccmjournal).
The funding by the National Intensive Care Evaluation foundation does not alter the authors’ adherence to all Intensive Care Medicine policies on sharing data and materials.
Prof. Dr. de Keizer and Drs. Brinkman’s and Margadant’s Department of Medical Informatics received funding from the National Intensive Care Evaluation (NICE) foundation to process and analyse data for the registry. Drs. Hoogendoorn, Bosman, and Spijkstra, and Prof. Dr. de Keizer are members of the board of NICE. The remaining authors have disclosed that they do not have any potential conflicts of interest.
For information regarding this article, E-mail: c.c.margadant@amc.uva.nl"
Critical Care Management of Toxicities Associated With Targeted Agents and Immunotherapies for Cancer,https://journals.lww.com/ccmjournal/abstract/2020/01000/critical_care_management_of_toxicities_associated.3.aspx,"1Department of Critical Care, The University of Texas M.D. Anderson Cancer Center, Houston, TX.
2Division of Pulmonary and Critical Care Medicine, Department of Medicine, Washington University School of Medicine, St. Louis, MO.
3Interdepartmental Division of Critical Care Medicine, Toronto General Hospital, Toronto, ON, Canada.
4Division of Pulmonary and Critical Care Medicine, Department of Medicine, Johns Hopkins University, Baltimore, MD.
5Interdepartmental Division of Critical Care Medicine, Mount Sinai Hospital, Toronto, ON, Canada.
6Division of Anesthesiology and Critical Care, Department of Critical Care, The University of Texas M.D. Anderson Cancer Center, Houston, TX.
7Department of Anesthesiology and Critical Care Medicine, Memorial Sloan Kettering Cancer Center, New York, NY.
8Departments of Medicine and Anesthesiology and Critical Care Medicine, Weill Cornell Medical College, New York, NY.
Drs. Gutierrez, McEvoy, Stephens, and Pastores disclosed off-label product use of siltuximab for use in cytokine release syndrome and neurotoxicity related to chimeric antigen receptor T cells. The remaining authors have disclosed that they do not have any potential conflicts of interest.
For information regarding this article, E-mail: pastores@mskcc.org"
Clinical and Genetic Contributors to New-Onset Atrial Fibrillation in Critically Ill Adults*,https://journals.lww.com/ccmjournal/abstract/2020/01000/clinical_and_genetic_contributors_to_new_onset.4.aspx,
"Outcomes in Critically Ill Patients With Traumatic Brain Injury: Ethnicity, Documentation, and Insurance Status",https://journals.lww.com/ccmjournal/abstract/2020/01000/outcomes_in_critically_ill_patients_with_traumatic.5.aspx,
Very Low Density Lipoprotein Receptor Sequesters Lipopolysaccharide Into Adipose Tissue During Sepsis,https://journals.lww.com/ccmjournal/abstract/2020/01000/very_low_density_lipoprotein_receptor_sequesters.6.aspx,
"Bioactive Adrenomedullin, Organ Support Therapies, and Survival in the Critically Ill: Results from the French and European Outcome Registry in ICU Study","https://journals.lww.com/ccmjournal/abstract/2020/01000/bioactive_adrenomedullin,_organ_support_therapies,.7.aspx","1Department of Anesthesia, Burn and Critical Care, University Hospitals Saint-Louis - Lariboisière, AP-HP, Paris, France.
2UMR-S 942, Inserm, Paris, France.
3Department of Intensive Care Medicine, Radboud Center for Infectious Diseases (RCI), Radboud University Medical Center, Nijmegen, The Netherlands.
4ECSTRA team, Biostatistics and clinical epidemiology, UMR 1153 (center of epidemiology and biostatistic Sorbonne Paris Cité, CRESS), INSERM, Paris, France.
5Paris Diderot University, Sorbonne Paris Cité, Paris, France.
6Department of Anesthesia, Surgical Intensive Care, Prehospital Emergency Medicine and Pain Therapy, University Hospital Basel, Basel, Switzerland.
7Medical ICU, Bicêtre Hospital, Paris-Sud University Hospitals, Inserm UMR_S999, Paris-Sud University, Le Kremlin-Bicêtre, France.
8Department of Anesthesiology and Critical Care, Beaujon Hospital, Assistance Publique Hôpitaux de Paris University, Clichy, France.
9Medical ICU, Saint-Louis University Hospital, AP-HP, Paris, France.
10Medical–Surgical ICU, Cliniques Saint-Luc, Brussels, Belgium.
11Sphingotec GmbH, Neuendorfstraße 15A, 16761, Hennigsdorf, Germany.
This work was performed at Department of Anesthesia, Burn and Critical Care, University Hospitals Saint-Louis - Lariboisière, AP-HP, Paris, France.
Drs. Lemasle and Blet contributed equally to this work.
Supplemental digital content is available for this article. Direct URL citations appear in the printed text and are provided in the HTML and PDF versions of this article on the journal’s website (http://journals.lww.com/ccmjournal).
Dr. Geven and his institution have received funding from Adrenomed AG. Dr. Monnet received support for article research from Assistance publique hôpitaux de Paris. Drs. Struck and Hartmann received funding from sphingotec GmbH (employees). Dr. Hartmann disclosed off-label product use of biomarker assay for adrenomedullin. Dr. Bergmann disclosed he is a member of the Adrenomed Board (but he receives no financial compensation). Dr. Mebazaa’s institution received funding from Adrenomed (paid to ship the samples), and he received funding from the Steering Committee of Adrenoss-2 (member). The remaining authors have disclosed that they do not have any potential conflicts of interest.
For information regarding this article, E-mail: etienne.gayat@aphp.fr"
Racial and Ethnic Disparities in Postcardiac Arrest Targeted Temperature Management Outcomes*,https://journals.lww.com/ccmjournal/abstract/2020/01000/racial_and_ethnic_disparities_in_postcardiac.8.aspx,
Early and Late Mortality Following Discharge From the ICU: A Multicenter Prospective Cohort Study*,https://journals.lww.com/ccmjournal/abstract/2020/01000/early_and_late_mortality_following_discharge_from.9.aspx,"1Intensive Care Unit, Hospital Moinhos de Vento (HMV), Porto Alegre, Brazil.
2Research Projects Office, HMV, Porto Alegre, Brazil.
3Post-Graduation Program in Rehabilitation Sciences, Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA), Porto Alegre, Brazil.
4Institute for Health Technology Assessment, Postgraduate Program in Epidemiology, Universidade Federal do Rio Grande do Sul (UFRGS), Porto Alegre, Brazil.
5Postgraduate Program in Epidemiology, UFRGS, Porto Alegre, Brazil.
6General Intensive Care, Assistance Publique Hôpitaux of Paris, Raymond Poincaré Hospital, University of Versailles Saint-Quentin-en-Yvelines, Paris, France.
7Department of Critical Care, Instituto D’Or de Pesquisa e Ensino, Rio de Janeiro, Brazil.
*See also p. 132.
The complete list of board members of The Quality of Life After ICU Study Group Investigators and BRICNet is provided in the electronic supplemental material (Supplemental Digital Content 1, https://links.lww.com/CCM/E958).
The study was carried out at Critical Care Department of Hospital Moinhos de Vento (Porto Alegre, Brazil), Critical Care Department of Hospital de Clínicas de Porto Alegre (Porto Alegre, Brazil), Critical Care Department of Hospital Santa Clara (Porto Alegre, Brazil), Critical Care Department of Pavilhão Pereira Filho (Porto Alegre, Brazil), Critical Care Department of Hospital Ernesto Dornelles (Porto Alegre, Brazil), Critical Care Department of Hospital Nossa Senhora da Conceição (Porto Alegre, Brazil), Critical Care Department of Hospital de Urgências de Goiânia (Goiânia, Brazil), Critical Care Department of Hospital Regional do Baixo Amazonas (Santarém, Brazil), Critical Care Department of Hospital Geral Clériston Andrade (Feira de Santana, Brazil), and Critical Care Department of Hospital do Coração (São Paulo, Brazil).
Supplemental digital content is available for this article. Direct URL citations appear in the printed text and are provided in the HTML and PDF versions of this article on the journal’s website (http://journals.lww.com/ccmjournal).
The present study was funded by the Brazilian Ministry of Health through the Brazilian Unified Health System Institutional Development Program. Drs. Rosa’s, Falavigna’s, Robinson’s, Sanchez’s, Kochhann’s, Schneider’s, Sganzerla’s, Dietrich’s, Barbosa’s, de Souza’s, Rech’s, and dos Santos’s institutions received funding from Brazilian Ministry of Health through the Brazilian Unified Health System Institutional Development Program. Dr Falavigna is manager partner of HTAnalyze, a consulting and training firm in health technology assessment topics. The remaining authors have disclosed that they do not have any potential conflicts of interest.
For information regarding this article, E-mail: regis.rosa@hmv.org.br"
Simulation-Based Team Leadership Training Improves Team Leadership During Actual Trauma Resuscitations: A Randomized Controlled Trial,https://journals.lww.com/ccmjournal/abstract/2020/01000/simulation_based_team_leadership_training_improves.10.aspx,"1Center for Experiential Learning and Simulation, Department of Emergency Medicine, University of Florida College of Medicine, Gainesville, FL.
2Department of Emergency Medicine, University of Florida College of Medicine – Jacksonville, Jacksonville, FL.
3Department of Emergency Medicine, University of Washington, Seattle, WA.
4Department of Psychology, Michigan State University, East Lansing, MI.
5Department of Emergency Medicine, Office of Educational Affairs, University of Florida College of Medicine – Jacksonville, Jacksonville, FL.
6Department of Surgery, University of Washington, Seattle, WA.
7Department of Medicine, University of Washington, Seattle, WA.
8Department of Psychology, University of Maryland, College Park, MD.
9Department of Management, Michigan State University, East Lansing, MI.
This work was completed at University of Washington (enrollment, data collection, coding), the University of Florida (data analysis, data interpretation, and manuscript preparation), Michigan State University (coding, statistical analysis), and the University of Maryland (data analysis).
Supplemental digital content is available for this article. Direct URL citations appear in the printed text and are provided in the HTML and PDF versions of this article on the journal’s website (http://journals.lww.com/ccmjournal).
Supported, in part, by grant from the Agency for Healthcare Research and Quality (1R18HS022458-01A1) and the Department of Defense (W81XWH-18-1-0089).
Drs. Fernandez’s, Rosenman’s, Chipman’s, and Vrablik’s institutions received funding from the Agency for Healthcare Research and Quality (AHRQ), the Department of Defense (DoD), and State of Washington Department of Labor and Industry. Dr. Fernandez received funding from Physio-Control (speaker fees), and she received support for article research from AHRQ, the DoD Congressionally Directed Medical Research Program, and the Washington State Department of Labor and Industries to conduct research. Dr. Rosenman’s institution received funding from the Society for Academic Emergency Medicine Foundation. She reports personal payment from Physio-Control for speaker fees. Mr. Olenick’s institution received funding from AHRQ, Army Research Institute for the Behavioral and Social Sciences, and the DoD. Mr. Misisco disclosed that his graduate research assistant funding was paid for via Dr. Chao’s AHRQ and DoD subcontracts from Spring 2018 to Summer 2018, and he received funding from Michigan State University graduate assistant funding, University at Albany Educational Opportunities Program tutor funding, University at Albany, The State University of New York, and Jackson National Life. Dr. Vrablik’s institution received funding from Washington University. Dr. Kalynych’s institution received funding from the National Institutes of Health (NIH) and DoD, and she received support for article research from the NIH. Dr. Nichol’s institution received funding from National Heart, Lung, Blood Institute, DoD, Abiomed, Zoll Medical, and GE Healthcare; he disclosed that she receives salary support from the University of Washington, via the Leonard A. Cobb Medic One Foundation Endowed Chair in Prehospital Emergency Care; he is a consultant to GE Healthcare and Zoll Circulation, a subsidiary of Zoll Medical Corp; and he has assigned a provisional patent for a combination product to modify reperfusion injury to the University of Washington. Dr. Grand’s institution received funding from Army Research Institute for the Behavioral and Social Sciences and DoD Congressionally Directed Medical Research Program. Dr. Kozlowski received funding from University of Washington; he received grants from the AHRQ, the Army Research Institute for the Behavioral and Social Sciences, the National Aeronautics and Space Administration, and the National Science Foundation, and the University of Maryland for speaker fees; he received funding from travel for presentations, policy, or professional association positions from the American Psychological Association, Association for Computing Machinery, European Association for Work & Organizational Psychology, ETH Zurich, Rice University, Society for Industrial & Organizational Psychology, Technical University Delft, and Zhejiang Gongshang University; and he disclosed he has an editorial position with Oxford University Press. Dr. Chao's institution received funding from the AHRQ and DoD, which were awarded to the University of Washington with a subcontract issued to Michigan State University. Dr. Chao's institution also received funding from the Army Research Institute for the Behavioral and Social Sciences and from the National Science Foundation. The remaining authors have disclosed that they do not have any potential conflicts of interest.
For information regarding this article, E-mail: fernandez.r@ufl.edu"
