Article Title,Authors,Article URL,Author Information
194: SEVERE ARTERIAL ANEURYSMAL DISEASE IN A NEONATE WITH LOEYS-DIETZ SYNDROME,"Guider, Will1; Phelps, Christina2
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/194__severe_arterial_aneurysmal_disease_in_a.161.aspx,"1Nationwide Children’s Hospital, Columbus, OH
2Columbus, OH"
195: THE USE OF VA ECMO AS A BRIDGE TO PEDIATRIC HEART-LUNG TRANSPLANT: A CASE REPORT,"Scott, Sarah1; Escobar, Maria1; Brown, Claudine2; Holloway, Adrian3; Bhutta, Adnan1; Graciano, Ana Lía4; Garber, Nan2; Bagdure, Dayanand1; Foster, Cortney1; Walker, Linda5; Deatrick, Kristopher4
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/195__the_use_of_va_ecmo_as_a_bridge_to_pediatric.162.aspx,"1Baltimore, MD
2University of Maryland School of Medicine, Baltimore, MD
3University of Maryland Medical Center, Baltimore, MD
4University of Maryland, Baltimore, MD
5University of Maryland, Glen Arm, MD"
196: POTENTIAL IMPACT OF RED BLOOD CELL STORAGE LESION ON CARDIAC ELECTROPHYSIOLOGY,"Bruno, Chantal1; Guerrelli, Devon1; Ramadan, Manelle1; Luban, Naomi1; Posnack, Nikki1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/196__potential_impact_of_red_blood_cell_storage.163.aspx,"1Children’s National Medical Center, Washington, DC"
197: PULSE PRESSURE VARIATION DERIVED FROM THE GENERAL MONITOR CARESCAPE B850 VS. PICCO-DERIVED PPV_PICCO,"Busch, Daniel1; Schuster, Hanna1; Putko, Katarzyna1; Wagner, Franziska1; Schmid, Roland1; Huber, Wolfgang1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/197__pulse_pressure_variation_derived_from_the.164.aspx,"1Klinikum rechts der Isar der Technischen Universität München, München, Germany"
198: IMPACT OF FEMORAL INDICATOR INJECTION ON CARDIAC INDEX AND EXTRAVASCULAR LUNG WATER DERIVED BY PICCO,"Huber, Wolfgang1; Schuster, Hanna1; Putko, Katarzyna1; Wagner, Franziska1; Eckmann, Maximilian1; Elkmann, Felicia1; Gruber, Andrea1; Klein, Ines1; Schmid, Roland1; Busch, Daniel1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/198__impact_of_femoral_indicator_injection_on.165.aspx,"1Klinikum rechts der Isar; Technical University of Munich, Munich, Germany"
199: HEARTWARE FOR BIVENTRICULAR ASSIST DEVICE SUPPORT,"Ebraheem, Mohammad1; Bleiweis, Mark2; Gupta, Dipankar3; Philip, Joseph2
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/199__heartware_for_biventricular_assist_device.166.aspx,"1University of Florida College of Medicine, Gainesville, FL
2Congenital Heart Center, Shands Children’s Hospital, Gainesville, FL
3Gainesville, FL"
200: PULMONARY ARTERY ANEURYSM PRESENTING AS AN ASYMPTOMATIC NODULAR LESION OF THE CHEST,"Vijayakumar, Niranjan1; Badheka, Aditya2; Chegondi, Madhuradhar3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/200__pulmonary_artery_aneurysm_presenting_as_an.167.aspx,"1University of Iowa Children’s Hospital, Iowa City, IA
2University of Iowa Hospital and Clinics, Iowa City, IA
3Stead Family Children’s Hospital, Iowa City, IA"
201: LEFT VENTRICULAR ANEURYSM FOLLOWING COMPLEX CONGENITAL CARDIAC SURGERY,"Dragisic, Nikola1; Ashwath, Ravi1; Badheka, Aditya1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/201__left_ventricular_aneurysm_following_complex.168.aspx,"1University of Iowa Hospital and Clinics, Iowa City, IA"
202: HYPEROXIA AND SEVERE HEMOLYSIS IN PEDIATRIC CARDIOPULMONARY BYPASS,"Gretchen, Catherine1; Bayir, Hulya2; Kochanek, Patrick3; Kim-Campbell, Nahmah1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/202__hyperoxia_and_severe_hemolysis_in_pediatric.169.aspx,"1Children’s Hospital of Pittsburgh of UPMC, Pittsburgh, PA
2Children’s Hospital of Pittsburgh, Pittsburgh, PA
3University of Pittsburgh Medical Center Presbyterian, Pittsburgh, PA"
203: KYNURENINE PATHWAY ACTIVATION AFTER INFANT CARDIAC SURGERY WITH CARDIOPULMONARY BYPASS,"Sabapathy, Divya1; Klawitter, Jelena2; Silveira, Lori2; Mitchell, Max2; Morgan, Gareth3; DiMaria, Michael3; Twite, Mark3; Frank, Benjamin3; Davidson, Jesse3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/203__kynurenine_pathway_activation_after_infant.170.aspx,"1N/A
2University of Colorado, Aurora, CO
3Children’s Hospital Colorado, Aurora, CO"
204: CARDIOPULMONARY RESUSCITATION QUALITY MEASURED BY DIASTOLIC BLOOD PRESSURE DURING DAY VERSUS NIGHT,"Wolfe, Heather1; Sutton, Robert2; Reeder, Ron3; Meert, Kathleen4; Pollack, Murray5; Yates, Andrew6; Berger, John7; Newth, Christopher8; Carcillo, Joseph9; McQuillen, Patrick10; Harrison, Rick11; Moler, Frank12; Carpenter, Todd13; Notterman, Daniel14; Holubkov, Richard15; Dean, J. Michael15; Nadkarni, Vinay16; Berg, Robert17
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/204__cardiopulmonary_resuscitation_quality.171.aspx,"1Philadelphia, PA
2The Children’s Hospital of Philadelphia, Philadelphia, PA
3University of Utah, Salt Lake City, UT
4Children’s Hospital of Michigan, Detroit, MI
5Washington, DC
6Ohio State University Children’s Hospital, Columbus, OH
7Children’s National Health Systems, Washington, DC
8Children’s Hospital of Los Angeles, Los Angeles, CA
9Children’s Hospital of Pittsburgh, Pittsburgh, PA
10University of California San Francisco Medical Center, San Francisco, CA
11University of California Los Angeles Medical Center, Los Angeles, CA
12Ann Arbor, MI
13Aurora, CO
14Princeton University, Princeton, NJ
15University of Utah, Salt Lake City, UT
16University of Pennsylvania Perelman School of Medicine, Philadelphia, PA
17Children’s Hospital of Philadelphia, Philadelphia, PA"
205: TRANSCUTANEOUS CARBON DIOXIDE MONITORING IN CONGENITAL HEART DISEASE PATIENTS,"Malkani, Tarun1; Al-Subu, Awni2; Hagen, Scott3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/205__transcutaneous_carbon_dioxide_monitoring_in.172.aspx,"1Madison, WI
2University of Wisconsin-Madison, Madison, WI
3Pediatric Critical Care Medicine, Madison, WI"
206: USE OF VASOACTIVE AGENTS IN POSTOPERATIVE PEDIATRIC CARDIAC PATIENTS,"Flores, Saul1; Villarreal, Enrique2; Loomba, Rohit3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/206__use_of_vasoactive_agents_in_postoperative.173.aspx,"1Texas Medical Center, Missouri City, TX
2Baylor College of Medicine, Houston, TX
3Children’s Hospital of Wisconsin"
207: IMPACT OF SODIUM BICARBONATE THERAPY ON HEMODYNAMIC PARAMETERS IN INFANTS: A META-ANALYSIS,"Flores, Saul1; Abdulkarim, Mubeena2; Villarreal, Enrique3; Bronicki, Ronald3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/207__impact_of_sodium_bicarbonate_therapy_on.174.aspx,"1Texas Medical Center, Missouri City, TX
2Advocate Children’s Hospital, Park Ridge, IL
3Baylor College of Medicine, Houston, TX"
208: USE OF FRESH WHOLE BLOOD FOR NEONATAL CARDIOPULMONARY BYPASS,"Herstine, Erin1; Gehrie, Eric1; Marshall, Christi2; Blakemore, Karin1; Hibino, Narutoshi1; Vricella, Luca3; McMillan, Kristen Nelson3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/208__use_of_fresh_whole_blood_for_neonatal.175.aspx,"1Johns Hopkins University School of Medicine, Baltimore, MD
2Johns Hopkins Hospital, Baltimore, MD
3Johns Hopkins University, Baltimore, MD"
209: ACUTE CARDIAC FAILURE AND HYPEREOSINOPHILIC MYOCARDITIS SECONDARY TO NEW-ONSET PEDIATRIC ALL,"Ogueri, Vanessa1; Mellor, Joshua1; Muralidhar, Nivedita1; Rozenfeld, Ranna1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/209__acute_cardiac_failure_and_hypereosinophilic.176.aspx,"1Hasbro Children’s Hospital/Brown University, Providence, RI"
210: WHEN SIZE MATTERS: ECMO CANNULATION IN THE SUPER-MORBIDLY OBESE PATIENT,"Brown, Matthew1; Munoz, Peter1; Yamane, David1; Pocock, Elizabeth1; Najam, Farzad1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/210__when_size_matters__ecmo_cannulation_in_the.177.aspx,"1George Washington University Hospital, Washington, DC"
211: RIVAROXABAN-INDUCED HEMORRHAGIC PERICARDIAL TAMPONADE,"Rapista, Nicole1; Sarkar, Sauradeep2; Chaudhary, Rahul3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/211__rivaroxaban_induced_hemorrhagic_pericardial.178.aspx,"1Baltimore, MD
2Sinai Hospital of Baltimore, Baltimore
3Rochester, MN"
212: YOU MAKE MY HEART RACE: TORSADES DE POINTES DUE TO TRAZODONE OVERDOSE TREATED WITH OVERDRIVE PACING,"Umekawa, Sari1; Evans, Timothy1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/212__you_make_my_heart_race__torsades_de_pointes.179.aspx,"1UCSF Fresno, Fresno, CA"
213: ISOPROTERENOL AND LIDOCAINE FOR RECURRENT TORSADES DE POINTES IN A 32-YEAR-OLD PREGNANT WOMAN,"Reachi, Breyanna1; Negrelli, Jenna2; Hickman, Abby2; Beesley, Sarah2; Osborn, Jeffrey2
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/213__isoproterenol_and_lidocaine_for_recurrent.180.aspx,"1Intermountain Medical Center, Sandy, UT
2Intermountain Medical Center, Murray, UT"
214: PROPOFOL SEQUESTRATION IN AN EXTRACORPOREAL LIFE SUPPORT CIRCUIT,"Baumann, Amy1; Tripathi, Ravi2
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/214__propofol_sequestration_in_an_extracorporeal.181.aspx,"1Columbus, OH
2Ohio State University, Columbus, OH"
215: UNCOMMON APPROACH TO VV ECMO CANNULATION IN THE SETTING OF MRSA,"Abide, Aimee1; Groff, Robert2; Jabaley, Craig3; Sharifpour, Milad4
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/215__uncommon_approach_to_vv_ecmo_cannulation_in.182.aspx,"1Emory University Hospital Midtown, Atlanta, GA
2Emory University Critical Care Center, Brookhaven, GA
3Emory University Hospital, Atlanta, GA
4Emory University, Atlanta, GA"
216: WHEN THE GROOVE GOES WRONG,"Toston, Brian1; Jose, Stephin2; Priyadarshini, Shivani3; Concepcion, Livasky3; Mohammadi, Oranus1; Hussain, Syed2
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/216__when_the_groove_goes_wrong.183.aspx,"1Aventura Hospital Medical Center, Miami, FL
2NSUCOM, Fort Lauderdale, FL
3Aventura Hospital Medical Center, Aventura, FL"
217: RECURRENT SYNCOPE CAUSED BY ESOPHAGOPERICARDIAL FISTULA AFTER RADIOFREQUENCY ABLATION,"Lodhi, Muhammad Uzair1; Sabzwari, Anam Ali1; Mahmood, Ahmed2; Rehan, Mehboob2; Khan, Muhammad Arslan2; Syed, Intekhab Askari3; Khan, Muhammad4; Rahim, Mustafa5
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/217__recurrent_syncope_caused_by.184.aspx,"1Raleigh General Hospital, West Virginia University, Beckley, WV
2Eastern Idaho Regional Medical Center, Idaho Falls, ID
3Geisinger Health System, Danville, PA
4WellSpan Good Samaritan Hospital, Lebanon, PA
5West Virginia University School of Medicine, Morgantown, WV"
218: CASE OF NONREMITTING LOW-GRADE FEVERS: WHERE IS THE BUG HIDING?,"Arjuna, Ashwini1; Mody, Mohit2; Chandrashekaran, Satish3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/218__case_of_nonremitting_low_grade_fevers__where.185.aspx,"1University of Florida-Shands Hospital, Gainesville, FL
2Newark Beth Israel Medical Center, Newark, NJ
3Mayo Clinic Rochester, Jacksonville, FL"
219: A RARE COMPLICATION OF CATHETER-ASSISTED THROMBOLYSIS,"Papukhyan, Hayk1; Calvo-Ayala, Enrique2; Mesleh, Ghada3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/219__a_rare_complication_of_catheter_assisted.186.aspx,"1Clinton Twp, MI
2Detroit, MI, 3Cleveland Clinic Foundation, Cleveland, OH"
220: PACEMAKER OPTIMIZATION VIA ECHOCARDIOGRAPHY ACHIEVES BETTER HEMODYNAMICS THAN PREPROGRAMMED SETTING,"Rana, Zaid1; Peri, Nityanand1; Rad, Pedram1; Khoury, Nora1; Khoury, Nure1; McDonald, Emmanuel2; Cabrera, Luis1; Rios, Humberto1; Armas, Joel1; Tran, Anthony1; Dylewski, John1; Michel, George1; Vazquez, Hector3; Ferrer, Gustavo4; Hernandez, Felix5
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/220__pacemaker_optimization_via_echocardiography.187.aspx,"1Larkin Community Hospital, South Miami, FL
2Larkin Community Hospital - Palm Springs Campus, Hialeah, FL
3Aventura, FL
4Miami, FL
5N/A"
221: AI-DRIVEN FORECASTING OF MEAN PULMONARY ARTERY PRESSURE FOR THE MANAGEMENT OF CARDIAC PATIENTS,"Huang, Zhi1; Tgavalekos, Kristen2; Zhao, Claire3
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/221__ai_driven_forecasting_of_mean_pulmonary.188.aspx,"1Philips, Cambridge, MA
2Cambridge, MA
3Boston, MA"
222: ANTICOAGULATION PRACTICES WITH CATHETER-DIRECTED THROMBOLYSIS FOR TREATMENT OF PULMONARY EMBOLISM,"Kenes, Michael1; Belford, P. Matthew1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/222__anticoagulation_practices_with.189.aspx,"1Wake Forest Baptist Health, Winston Salem, NC"
223: SURGICAL STABILIZATION OF FLAIL CHEST FOLLOWING CARDIOPULMONARY RESUSCITATION AND PRONE VENTILATION,"Dusseau, Brian1; DeVoe, William1; Goslin, Brent1; Harris, Kevin1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/223__surgical_stabilization_of_flail_chest.190.aspx,"1Riverside Methodist Hospital, Columbus, OH"
224: SUCCESSFUL MANAGEMENT OF SEVERE ABNORMAL UTERINE BLEEDING IN A 12-YEAR-OLD SUPPORTED WITH ECMO,"Escobar, Maria1; Brown, Claudine1; Scott, Sarah1; Graciano, Ana Lía1; Thomas, George2; Mark, Katrina2; Deatrick, Kristopher3; Holloway, Adrian1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/224__successful_management_of_severe_abnormal.191.aspx,"1University of Maryland School of Medicine, Division of Pediatric Critical Care Medicine, Baltimore, MD
2University of Maryland Medical Center, Department of Obstetrics and Gynecology, Baltimore, MD
3University of Maryland School of Medicine, Division of Cardiac Surgery, Baltimore, MD"
225: MEAN ARTERIAL PRESSURE AND MORTALITY IN PATIENTS WITH CARDIOGENIC SHOCK,"Burstein, Barry1; Tabi, Meir1; Kashani, Kianoush2; Jentzer, Jacob1
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/225__mean_arterial_pressure_and_mortality_in.192.aspx,"1Mayo Clinic, Rochester, MN
2Mayo Clinic, Rochester, Afghanistan"
226: ANGIOTENSIN II FOR THE TREATMENT OF VASODILATORY SHOCK IN CARDIAC SURGERY PATIENTS,"Tallman, Crystal Ives1; Clark, Angela2; Butler, Simona3; Cranford, Jim1; Miller, James2; Diwan, Murtaza2; Gunnerson, Kyle2
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/226__angiotensin_ii_for_the_treatment_of.193.aspx,"1University of Michigan, Ann Arbor, MI
2University of Michigan Health System, Ann Arbor, MI
3Ann Arbor, MI"
227: TRANSPULMONARY THERMODILUTION WITH FEMORAL INDICATOR INJECTION: A VALIDATION STUDY OF THE PICCO-2,"Huber, Wolfgang1; Eckmann, Maximilian2; Gruber, Andrea2; Klein, Ines2; Elkmann, Felicia2; Putko, Katarzyna2; Wagner, Franziska2; Schuster, Hanna2; Schmid, Roland3; Busch, Daniel2
Author Information",https://journals.lww.com/ccmjournal/citation/2020/01001/227__transpulmonary_thermodilution_with_femoral.194.aspx,"1Munich (München)
2Klinikum rechts der Isar; Technical University of Munich, Munich, Germany
3Klinikum rechts der Isar der Technischen Universität München, München, Germany"
